*HASH_VALUE	faction	name	member	membergen	memberdat
_B43A6B56730DC785	tribe_kitin_gatheres	Собиратели Хитина	Собиратель Хитина	Собирателей Хитина	Собирателям Хитина
_A8C2504C2E8823C1	tribe_lagoon_brothers	Лагунное Братство	Лагунное Братство	Лагунного Братства	Лагунному Братству
_6BB0290BAA691CB1	tribe_lawless	Беззаконники	Беззаконник	Беззаконников	Беззаконникам
_6A902D076BA918B1	tribe_leviers	Мытари	Мытарь	Мытарей	Мытарям
_C3DB437B861E6ADF	tribe_master_of_the_goo	Повелители Гуу	Повелитель Гуу	Повелителей Гуу	Повелителям Гуу
_73A03E377C347598	tribe_matisian_border_guards	Пограничная Стража Матисов	Пограничный Страж Матисов	Пограничной Стражи Матисов	Пограничной Страже Матисов
_AC8C76BBA486E2D1	tribe_night_turners	Повернувшие Ночь	Повернувший Ночь	Повернувших Ночь	Повернувшим Ночь
_26BA3AC6DFB6A6A8	tribe_oasis_diggers	Копатели Оазиса	Копатель Оазиса	Копателей Оазиса	Копателям Оазиса
_60880A71C5C57A8B	tribe_pyromancers	Пироманты	Пиромант	Пиромантов	Пиромантам
_97374672C3C1C124	tribe_recoverers	Восстановители	Восстановитель	Восстановителей	Восстановителям
_7AFE3D837B2009EF	tribe_renegades	Изменники	Изменник	Изменников	Изменникам
_3D1FC91565CB65F5	tribe_restorers	Пожарная Стража	Пожарный Страж	Пожарной Стражи	Пожарной Страже
_1DE3F3E192C07A88	tribe_root_tappers	Осушающие Корень	Осушающий Корень	Осушающих Корень	Осушающим Корень
_D8154262BC9AADAE	tribe_sacred_sap	Священный Сэп	Священный Сэп	Священного Сэпа	Священному Сэпу
_154227EA1B939C8E	tribe_sap_gleaners	Жнецы Сэпа	Жнец Сэпа	Жнецов Сэпа	Жнецам Сэпа
_48A6B980052E65DF	tribe_sap_slaves	Рабы Сэпа	Рабы Сэпа	Рабов Сэпа	Рабам Сэпа
_7E9F917E7D1139F8	tribe_scorchers	Поджигатели	Поджигатель	Поджигателей	Поджигателям
_B819BFF3346C0F85	tribe_shadow_runners	Бегущие-в-Тени	Бегущие Тени	Бегущих Теней	Бегущим Теням
_938B861B1593F579	tribe_siblings_of_the_weeds	Потомство Сорных Трав	Потомок Сорных Трав	Потомков Сорных Трав	Потомкам Сорных Трав
_7758FFC63C5BB3C3	tribe_silt_sculptors	Скульпторы Ила	Скульптор Ила	Скульпторов Ила	Скульпторам Ила
_AD3F7D06E88A34B1	tribe_slavers	Работорговцы	Работорговец	Работорговцев	Работорговцам
_BF9E553529793923	tribe_smuglers	Контрабандисты	Контрабандист	Контрабандистов	Контрабандистам
_BBC9FEAA5F459B84	tribe_the_arid_matis	Матисы Засухи	Матис Засухи	Матисов Засухи	Матисам Засухи
_B07F6A1601F0E5E6	tribe_the_kuilde	Куилд	Куилд	Куилда	Куилду
_C295B382822077E7	tribe_the_slash_and_burn	Огнем и Мечом	Огнем и Мечом	Огнем и Мечом	Огнем и Мечом
_6A2B10CEED297892	tribe_tutors	Наставники	Наставник	Наставников	Наставникам
_E59D6A166AEB3F9E	tribe_water_breakers	Рассекающие Воду	Рассекающий Воду	Рассекающих Воду	Рассекающим Воду
_EBDAEECB1DE61EBB	tribe_woven_bridles	Плетеные Поводья	Плетеные Поводья	Плетеных Поводьев	Плетеным Поводьям
